iter	RMSE
0	0.03414156328
1	0.03413245236
2	0.03412445573
3	0.03411402586
4	0.03410420708
5	0.03409676146
6	0.03408878254
7	0.03408071437
8	0.03407327563
9	0.03406564784
10	0.03405911803
11	0.03405222105
12	0.034044701
13	0.03403693502
14	0.03402958301
15	0.03402359713
16	0.03401719715
17	0.03401092425
18	0.03400488087
19	0.03399703851
20	0.03399018963
21	0.033984827
22	0.03397948339
23	0.03397266614
24	0.03396767819
25	0.03396197658
26	0.03395657212
27	0.03395130706
28	0.0339476199
29	0.03394243894
30	0.03393941767
31	0.03393392925
32	0.03392962794
33	0.0339234574
34	0.03391804589
35	0.03391183633
36	0.03390734171
37	0.03390064846
38	0.03389618009
39	0.03389109621
40	0.03388452401
41	0.03388085071
42	0.03387621871
43	0.03387004505
44	0.03386429258
45	0.03386057047
46	0.03385554221
47	0.03385132882
48	0.03384676842
49	0.03384202788
50	0.03383782928
51	0.03383261245
52	0.03382824524
53	0.03382309927
54	0.03381812865
55	0.03381383049
56	0.03380860104
57	0.03380387747
58	0.03379930352
